"Stock","Last assessment","Council","Code","Var","Value","Units"
"Windowpane - Southern New England / Mid-Atlantic",2023,"NEFMC","S Windowpane","B.Bmsy",0.851999998092651,"unitless"
"Winter flounder - Georges Bank",2022,"NEFMC","GB Winter","B.Bmsy",0.600000023841858,"unitless"
"Winter flounder - Gulf of Maine",2022,"NEFMC","GOM Winter","B.Bmsy",NA,"unitless"
"Winter flounder - Southern New England / Mid-Atlantic",2022,"NEFMC","SNE Winter","B.Bmsy",1.01199996471405,"unitless"
"Winter skate - Georges Bank / Southern New England",2023,"NEFMC","Winter Skate","B.Bmsy",1.12000000476837,"unitless"
"Witch flounder - Northwestern Atlantic Coast",2024,"NEFMC","Witch","B.Bmsy",NA,"unitless"
"Yellowtail flounder - Cape Cod / Gulf of Maine",2022,"NEFMC","CCGOM YT","B.Bmsy",0.996999979019165,"unitless"
"Yellowtail flounder - Georges Bank",2024,"NEFMC","GB YT","B.Bmsy",NA,"unitless"
"Yellowtail flounder - Southern New England / Mid-Atlantic",2022,"NEFMC","SNEMA YT","B.Bmsy",0.0410000011324883,"unitless"
"Goosefish - Gulf of Maine / Northern Georges Bank",2022,"Both","N Goosefish","B.Bmsy",NA,"unitless"
"Goosefish - Southern Georges Bank / Mid-Atlantic",2022,"Both","S Goosefish","B.Bmsy",NA,"unitless"
"Spiny dogfish - Atlantic Coast",2023,"Both","Dogfish","B.Bmsy",1.01499998569489,"unitless"
"Atlantic cod - Eastern Gulf of Maine",2024,"NEFMC","EGOM Cod","B.Bmsy",0.12,"unitless"
"Atlantic cod - Southern New England",2024,"NEFMC","SNE Cod","B.Bmsy",0.03,"unitless"
"Atlantic cod - Western Gulf of Maine",2024,"NEFMC","WGOM Cod","B.Bmsy",0.03,"unitless"
