"Year","SSB","SSB.CV","F","F.CV","Rect","Rect.CV","SSB_old","F_old","Rect_old"
1968,734252,0.09,0.16,0.19,4960514,0.09,625372,0.18,5251499
1969,1095168,0.08,0.15,0.18,1451392,0.16,858196,0.17,1560568
1970,1142913,0.07,0.22,0.17,2722692,0.12,970566,0.24,2889743
1971,1162743,0.07,0.34,0.16,907986,0.18,1045054,0.37,977239
1972,1178993,0.08,0.37,0.16,1187518,0.14,1136624,0.38,1253712
1973,813892,0.08,0.53,0.15,815893,0.15,816002,0.53,917174
1974,586371,0.09,0.61,0.14,1194373,0.12,621643,0.57,1288020
1975,393039,0.09,0.72,0.14,1046993,0.1,511171,0.63,1212786
1976,264360,0.07,0.94,0.13,176044,0.15,379827,0.74,221732
1977,221478,0.08,0.38,0.16,36519,0.26,361494,0.26,40016
1978,207582,0.09,0.14,0.18,50301,0.22,381928,0.08,34444
1979,184993,0.1,0.18,0.18,131796,0.16,355041,0.1,191039
1980,179408,0.11,0.15,0.18,26902,0.32,350074,0.08,50982
1981,156917,0.12,0.19,0.18,187051,0.16,303567,0.11,253444
1982,163614,0.12,0.18,0.19,446128,0.12,309061,0.1,501870
1983,217807,0.09,0.16,0.18,2146865,0.06,365428,0.11,2064233
1984,437712,0.06,0.11,0.17,89629,0.25,399833,0.12,90852
1985,488326,0.06,0.16,0.17,189119,0.17,592546,0.15,139900
1986,452412,0.07,0.16,0.17,92157,0.22,533049,0.16,87114
1987,364446,0.07,0.24,0.17,117370,0.19,415689,0.23,115871
1988,297137,0.07,0.3,0.15,404432,0.11,340366,0.28,373119
1989,291627,0.07,0.3,0.16,537518,0.1,328615,0.29,522392
1990,238242,0.07,0.42,0.15,110282,0.17,259940,0.42,103844
1991,231999,0.07,0.34,0.16,185870,0.13,247112,0.35,173210
1992,178291,0.07,0.26,0.17,196754,0.12,178828,0.28,183313
1993,152459,0.08,0.26,0.17,37398,0.25,159319,0.27,36200
1994,123176,0.09,0.32,0.16,145342,0.14,122840,0.34,155259
1995,116042,0.09,0.27,0.17,170518,0.13,115002,0.28,181170
1996,105864,0.09,0.45,0.17,172737,0.13,105346,0.47,168433
1997,104383,0.09,0.48,0.17,225650,0.12,101890,0.5,207023
1998,90323,0.1,0.47,0.18,109037,0.18,97391,0.49,96599
1999,86623,0.12,0.46,0.19,177711,0.16,82263,0.49,171662
2000,152217,0.08,0.24,0.19,1176531,0.08,181434,0.27,1228596
2001,247804,0.08,0.23,0.18,198598,0.18,270312,0.26,198527
2002,243978,0.08,0.29,0.17,157946,0.2,257388,0.32,155544
2003,219157,0.09,0.4,0.17,373173,0.14,227491,0.45,353863
2004,180605,0.09,0.68,0.16,795144,0.11,172900,0.77,747571
2005,167336,0.09,0.69,0.16,198066,0.17,150132,0.72,199753
2006,116328,0.09,0.95,0.14,397828,0.12,129265,1.05,376086
2007,97524,0.1,0.91,0.15,110810,0.17,102727,1.02,107334
2008,61954,0.12,0.91,0.16,236720,0.14,66340,0.97,230341
2009,44577,0.11,1.54,0.14,198702,0.13,43621,1.66,176316
2010,27595,0.1,2.04,0.13,30940,0.2,24412,2.15,27537
2011,17718,0.11,1.12,0.17,133409,0.11,17317,1.25,128850
2012,18685,0.1,1.23,0.16,91473,0.12,17018,1.42,90792
2013,18146,0.11,1.14,0.16,41564,0.16,17877,1.27,40653
2014,15330,0.12,1.06,0.17,83800,0.13,15319,1.19,87113
2015,16774,0.12,1,0.18,131514,0.12,20266,1.08,147315
2016,24477,0.1,0.77,0.17,316570,0.09,30870,0.82,387668
2017,31505,0.09,0.73,0.16,23392,0.23,40190,0.64,25474
2018,30388,0.1,0.74,0.16,104960,0.14,47554,0.58,145584
2019,23505,0.12,0.72,0.18,51031,0.17,42862,0.46,135882
2020,17048,0.17,1.07,0.2,64856,0.24,NA,NA,NA
2021,12321,0.34,1.06,0.36,67745,0.39,NA,NA,NA
2022,19017,0.46,0.18,0.5,252424,0.52,NA,NA,NA
